,city,diesel
350,GEROLFINGEN,1.2334217687074829
351,GEROLSBACH,1.2129230769230768
352,GEROLZHOFEN,1.232521889186162
353,GERSTHOFEN,1.254467011602166
354,GERZEN,1.2121423864824472
355,GESLAU,1.2399660377358874
356,GESSERTSHAUSEN,1.2203068149896275
357,GIEBELSTADT,1.1761070742358188
358,GILCHING,1.2250806537759813
359,GLONN,1.2145099076612347
360,GMUND,1.2453157894736993
361,GOCHSHEIM,1.2337819090438518
362,GOESSWEINSTEIN,1.2425096682612984
363,GOLLHOFEN,1.256893984789112
364,GOTTFRIEDINGERSCHWAIGE,1.2311378698224844
365,GRABEN,1.2500341242083477
366,GRABENSTAETT,1.2381078868682889
367,GRAEFELFING,1.221881717610263
368,GRAFENAU,1.2281885381170672
369,GRAFENWOEHR,1.268603508246085
370,GRAFING,1.2075252258114575
371,GRASBRUNN,1.2231514569182855
372,GRASSAU,1.2651249279815466
373,GREDING,1.3761101445546318
374,GREMSDORF,1.2451155569169146
375,GRIESSTAETT,1.2246848602988918
376,GROEBENZELL,1.2638273091504324
377,GROSSAITINGEN,1.2369365822266665
378,GROSSHABERSDORF,1.2200378974397976
379,GROSSHEUBACH,1.2263817486860784
380,GROSSMEHRING,1.231650000000002
381,GROSSMEHRING-INTERPARK,1.2630915624551013
382,GROSSOSTHEIM,1.238822624681871
383,GRUB AM FORST,1.2428527749228944
384,GRUENWALD,1.2445272975314223
385,GRÃ¤FENDORF,1.2606666666666668
386,GUENZBURG,1.2121382428101402
387,GUNDELFINGEN,1.196177860791209
388,GUNZENHAUSEN,1.2102903918494037
389,GUTENECK,1.2476612623636105
390,HAAG,1.217703782859523
391,HAAG IN OBERBAYERN,1.2258520807580857
392,HAAR,1.251906016175762
393,HAFENLOHR,1.243186046511627
394,HAGENBUECHACH,1.204938848920863
395,HAIBACH,1.1954811385640673
396,HAIBACH/UNTERFRANKEN,1.196389636248806
397,HAIMHAUSEN,1.2478298208402667
398,HALBLECH (TRAUCHGAU),1.2479290310280695
399,HALFING,1.2297664677276958
400,HALLBERGMOOS,1.2361847583896775
401,HALLSTADT,1.1952933837495372
402,HAMMELBURG,1.216811185762144
