uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,state
03d8b152-30c6-4522-bbbb-498d8d238da9,Aral Tankstelle,ARAL,NIEDERMAYERSTRASSE,54,84036,LANDSHUT,48.5462074,12.1810827,2014-03-18 16:45:31+01,no data,Bayern
8a971d16-2098-4241-b5e6-8996cff7cab4,Aral Tankstelle,ARAL,MANCHINGER STRASSE,76,85053,INGOLSTADT,48.753933,11.4498873,2014-03-18 16:45:31+01,"{""overrides"":[{""startp"":""2021-05-31 18:00"",""endp"":""2021-06-01 06:00"",""is_close"":true}],""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""00:00"",""endp"":""00:00""}]}]}",Bayern
2b14e258-596e-4bbe-8ac3-2325d9146c17,Tankzentrum Lacher,TANKZENTRUM LACHER,REGENTALSTRASSE ,14,93149,NITTENAU,49.197326,12.265162,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""06:30"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern
d5db3a39-6080-4c5a-a5f5-0d3bcb54e94b,Mellrichstadt A 71,OMV,MELLRICHSTÄDTER HÖHE OST,A 71,97638,MELLRICHSTADT-ROSSRIETH,50.42136,10.34902,2014-03-18 16:45:31+01,no data,Bayern
810c0fe7-5236-45c4-b7a5-1253348b0953,Pinoil,PINOIL,AUGSBURGER STRASSE,20,86420,DIEDORF (BIBURG),48.3736267,10.7671862,2014-03-18 16:45:31+01,no data,Bayern
492294ce-7213-4204-95a1-8c0e6b8a7387,Rosenheim Renkenweg 1,OMV,RENKENWEG,1,83026,ROSENHEIM,47.84331,12.08196,2014-03-18 16:45:31+01,no data,Bayern
8adec9eb-0c4c-43f2-b15c-3846629e71d2,AVIA Tankstelle,AVIA,HARTMANNSGRUB,1,94244,GEIERSTHAL,49.02477,12.97304,2014-03-18 16:45:31+01,no data,Bayern
2b367c5c-8601-4b79-81db-8ec567e30190,V-Markt Günzburg,V-MARKT,AUGSBURGER STR.,50,89312,GÜNZBURG,48.45243,10.285455,2014-03-18 16:45:31+01,no data,Bayern
7b029caf-172e-4e50-6300-f2991c068432,ELO Oettingen,ELO,SPITALGASSE,5,86732,OETTINGEN,48.953039,10.609632,2014-03-18 16:45:31+01,no data,Bayern
944d2525-4cb4-4a53-9cbe-d80f6a9bbd3a,TotalEnergies Durach,TOTAL,FUESSENER STR. 2A,2a,87471,DURACH,47.699386,10.3415,2014-03-18 16:45:31+01,no data,Bayern
2b3e26cf-3240-4979-8334-057634701b67,PIN Service-Station,PIN SERVICE-STATION,HAYDNSTRASSE,3,89250,SENDEN,48.3282967,10.0420084,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":1,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":30,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",Bayern
8af3dcd8-a0ca-4e3e-934d-0e74bcf00784,AVIA Tankstelle,AVIA,WAIDHAUSER STRASSE,14,92693,ESLARN,49.584477724077,12.518098060501,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:30"",""endp"":""20:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:30"",""endp"":""18:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:30"",""endp"":""12:00""}]}]}",Bayern
ef67307e-1632-4e85-a563-0017276b875e,Aral Tankstelle,ARAL,GABLINGER WEG,83,86154,AUGSBURG,48.3987732,10.8686686,2014-03-18 16:45:31+01,no data,Bayern
8af6d696-9e92-451a-b960-dfebf4f9d5aa,AVIA Tankstelle,AVIA,KEMNATHER STRASSE,20,92690,PRESSATH,49.77185,11.93088,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""20:30""}]}]}",Bayern
2b405359-84be-460c-a414-eb83c528c24a,Esso Tankstelle,ESSO,MUENCHENER STR. 281, ,90471,NUERNBERG,49.424289,11.106145,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",Bayern
cfdd36a1-5cec-4401-9c06-062d04b8fa09,Aral Tankstelle,ARAL,BRUCKERSTRASSE,34a,82266,INNING,48.08877,11.1509867,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":123,""periods"":[{""startp"":""00:00"",""endp"":""00:00""}]},{""applicable_days"":4,""periods"":[{""startp"":""00:00"",""endp"":""23:59""}]}]}",Bayern
f5f0cd8a-d39e-4f5a-82d6-70d71c75b12d,TotalEnergies Klosterlechfeld,TOTAL,SCHWABMUENCHNER STR. 16,16,86836,KLOSTERLECHFELD,48.159048,10.82816,2014-03-18 16:45:31+01,no data,Bayern
2b55230b-0490-4a59-a34c-f0c54305d8a4,Tankstelle am E-Center,E CENTER,MARKTBREITER STR.,1,97318,KITZINGEN,49.732828,10.173734,2014-03-18 16:45:31+01,no data,Bayern
8b243590-0c91-45dc-8439-806355c5c3b7,Kempten Memminger Strasse 60,OMV,MEMMINGER STR.,60,87439,KEMPTEN,47.7345,10.31027,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern
d7a88bb7-5e81-4d53-8737-005252c51b2c,"Altdorf, Am Aicher Feld",OMV,AM AICHER FELD,1,84032,ALTDORF,48.56582,12.10093,2014-03-18 16:45:31+01,no data,Bayern
8b2f8add-d210-46be-ae06-143ddd4cfa08,Veitsbronn Fürther Str. 60,OMV,FÜRTHER STR.,60,90587,VEITSBRONN,49.5044,10.89378,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",Bayern
00060289-0001-4444-8888-acdc00000001,Tankstelle Unsin,NO BRAND,DACHAUER STR.,13,85253,ERDWEG-GROSSBERGHOFEN,48.321155548096,11.316249847412,2014-03-18 16:45:31+01,no data,Bayern
c96cad5c-c0ca-4d78-b665-b96efc4dfc83,StarkStelle,STARKSTELLE,AM KAYGRABEN,2,86637,WERTINGEN,48.551942,10.685124,2014-03-18 16:45:31+01,no data,Bayern
c79e278f-5bd9-42fd-934f-acf872a4ff15,Tankstelle Bayer,FREIE TANKSTELLE BAYER,HAUPTSTR. ,58,84130,DINGOLFING,48.639545,12.443969,2014-03-18 16:45:31+01,no data,Bayern
f9c4fe7e-aaa6-43df-8c78-e949bc97d0f1,Seel Mineraloele GmbH Co. KG,FREIE TANKSTELLE,BAHNHOFSTR.,24,86925,FUCHSTAL-LEEDER,47.93511,10.8323,2014-03-18 16:45:31+01,no data,Bayern
3245e907-fc2e-4b72-badb-05362902f7e5,Shell Schwabach Rother Str. 15,SHELL,ROTHER STR.,15,91126,SCHWABACH,49.323661,11.039737,2014-03-18 16:45:31+01,no data,Bayern
0998a5ff-9573-4110-b0d5-c8adcdbe1d92,tankpoint Traunreut,TANKPOINT,TROSTBERGER STRASSE,16,83301,TRAUNREUT,47.9622,12.61078,2014-03-18 16:45:31+01,no data,Bayern
f71d7185-fa4b-4aae-8688-b2862518aa32,Aral Tankstelle,ARAL,WÜRZBURGER STRASSE,3-5,97753,KARLSTADT,49.9556351,9.772477,2014-03-18 16:45:31+01,no data,Bayern
137b60a7-31b4-4541-9708-5de9af8467a3,AVIA Tankstelle,AVIA,AM BAHNHOF,25,97762,HAMMELBURG,50.12007,9.881269,2014-03-18 16:45:31+01,no data,Bayern
f8d8052a-d61a-4e76-bb23-4b678de58347,AVIA Tankstelle,AVIA,JAHNSTRASSE,43747,96364,MARKTRODACH,50.24662,11.38776,2014-03-18 16:45:31+01,no data,Bayern
951425a6-476d-4b80-b2a5-fc689faf9793,Passau A 3,OMV,DONAUTAL WEST,A 3,94036,PASSAU,48.58986,13.36608,2014-03-18 16:45:31+01,no data,Bayern
2a3a5cd0-3052-4ff9-98b1-fb766cd5562a,BK-Tankstelle Feichten,NO BRAND,HAUPTSTR.,3,84450,FEICHTEN,48.081863,12.595877,2014-03-18 16:45:31+01,no data,Bayern
fc9686aa-5906-4c19-9254-2653f1efb4d9,Raiffeisen-Handels GmbH Seuversholz,RAIFFEISEN,EICHSTÄTTER STRASSE,26,85110,KIPFENBERG,48.9485,11.3937,2014-03-18 16:45:31+01,no data,Bayern
b47367fc-9e80-4039-98c5-0fd0823be428,Freie Tankstelle Herbert Klink,FREIE TANKSTELLE HERBERT KLINK,ROSENSTRASSE 60,0,86669,KÖNIGSMOOS,48.692649841309,11.219771385193,2014-03-18 16:45:31+01,no data,Bayern
8fec9d65-531f-447f-b2ef-4fafa4c094a4,Aral Tankstelle,ARAL,ZADARSTRASSE,11,82256,FÜRSTENFELDBRUCK,48.1775322,11.2272863,2014-03-18 16:45:31+01,no data,Bayern
08ce4bd6-cde9-45e3-a162-685a0de65828,AVIA Tankstelle,AVIA,GLASSTRASSE,2,95466,WEIDENBERG,49.94442,11.72239,2014-03-18 16:45:31+01,no data,Bayern
00061561-0011-4444-8888-acdc00000011,"Bergler Mineralöl GmbH, Nabburg",BERGLER,PERSCHENER STR.,40,92507,NABBURG,49.45539855957,12.184809684753,2014-03-18 16:45:31+01,no data,Bayern
9cb70655-c9aa-430a-a085-74e19ee1fa28,Shell Kist Hauptstr. 1,SHELL,HAUPTSTR.,1,97270,KIST,49.746001,9.844986,2014-03-18 16:45:31+01,no data,Bayern
46b2b609-8a49-4162-bf50-8cefca8a6dd3,EC Tank Treffer,FREIE TANKSTELLE,AM BRAUNWEIHER,2,85077,MANCHING,48.708929,11.494717,2014-03-18 16:45:31+01,no data,Bayern
1982c2d7-e665-43e5-9578-594bbce00f40,Esso Tankstelle,ESSO,ADAM-HOERBER-STR. 38, ,91541,ROTHENBURG,49.378638,10.187171,2014-03-18 16:45:31+01,no data,Bayern
076ce186-c8bb-4f38-9cd9-fbbc3586a22c,Esso Tankstelle,ESSO,WICHERNSTR. 2, ,91052,ERLANGEN,49.582556,10.993876,2014-03-18 16:45:31+01,no data,Bayern
00e89a55-c7b9-4afa-b8b5-157476a6767f,Mauth Freyunger Straße 11,OMV,FREYUNGER STR.,11,94151,MAUTH,48.88455,13.58249,2014-03-18 16:45:31+01,no data,Bayern
09351f7a-734e-4d50-8abd-826b4099bb4c,Tankcenter Krebs,FREIE TANKSTELLE,ANSBACHER STR. ,18,91717,WASSERTRUEDINGEN,49.0449,10.5989,2014-03-18 16:45:31+01,no data,Bayern
